115n -- Employed labour force by area, commuting, level of education, age and year, 1987-2017

Area;Commuting;Level of education;Total 2017 Employed;- 17 2017 Employed;18 - 24 2017 Employed;25 - 34 2017 Employed;35 - 44 2017 Employed;45 - 54 2017 Employed;55 - 64 2017 Employed;65 - 74 2017 Employed;75 - 2017 Employed
Siikainen;Persons working outside their municipality of residence;Total;189;0;14;30;39;63;43;0;0
Siikajoki;Persons working outside their municipality of residence;Total;835;0;66;145;221;195;199;9;0
Siikalatva;Persons working outside their municipality of residence;Total;524;0;62;89;104;151;111;7;0
Siilinjärvi;Persons working outside their municipality of residence;Total;5528;0;309;1159;1491;1537;1001;31;0
Simo;Persons working outside their municipality of residence;Total;623;0;35;104;138;174;166;6;0
Sipoo;Persons working outside their municipality of residence;Total;6864;0;438;936;1976;2237;1223;54;0
Siuntio;Persons working outside their municipality of residence;Total;2173;0;125;304;640;686;398;20;0
Sodankylä;Persons working outside their municipality of residence;Total;547;0;50;158;108;116;105;10;0
Soini;Persons working outside their municipality of residence;Total;227;0;26;42;39;63;55;2;0
Somero;Persons working outside their municipality of residence;Total;1222;0;81;241;254;347;279;20;0
Sonkajärvi;Persons working outside their municipality of residence;Total;606;0;51;122;128;157;140;8;0
Sotkamo;Persons working outside their municipality of residence;Total;1328;0;67;232;359;348;308;14;0
Sottunga;Persons working outside their municipality of residence;Total;23;0;1;5;1;4;10;2;0
Sulkava;Persons working outside their municipality of residence;Total;262;0;23;51;52;59;72;5;0
Sund;Persons working outside their municipality of residence;Total;392;0;40;60;92;105;83;12;0
Suomussalmi;Persons working outside their municipality of residence;Total;479;0;37;99;109;137;84;13;0
Suonenjoki;Persons working outside their municipality of residence;Total;817;0;45;154;212;231;167;8;0
Sysmä;Persons working outside their municipality of residence;Total;380;0;38;53;69;104;108;8;0
Säkylä;Persons working outside their municipality of residence;Total;1174;0;82;234;245;348;255;10;0
Taipalsaari;Persons working outside their municipality of residence;Total;1474;0;58;218;401;428;354;15;0
Taivalkoski;Persons working outside their municipality of residence;Total;290;0;55;64;41;67;59;4;0
Taivassalo;Persons working outside their municipality of residence;Total;335;0;29;67;70;84;78;7;0
Tammela;Persons working outside their municipality of residence;Total;1631;0;113;279;367;464;394;14;0
Tampere;Persons working outside their municipality of residence;Total;21562;0;3289;6816;4754;3880;2680;143;0
Tervo;Persons working outside their municipality of residence;Total;266;0;20;44;46;64;89;3;0
Tervola;Persons working outside their municipality of residence;Total;367;0;31;87;75;82;91;1;0
Teuva;Persons working outside their municipality of residence;Total;619;0;46;119;136;175;137;6;0
Tohmajärvi;Persons working outside their municipality of residence;Total;636;0;36;119;153;186;136;6;0
Toholampi;Persons working outside their municipality of residence;Total;399;0;30;72;106;101;88;2;0
Toivakka;Persons working outside their municipality of residence;Total;556;0;19;100;153;156;119;9;0
Tornio;Persons working outside their municipality of residence;Total;1818;0;152;422;467;401;359;17;0
Turku;Persons working outside their municipality of residence;Total;19786;0;3622;6112;3999;3493;2381;179;0
Tuusniemi;Persons working outside their municipality of residence;Total;403;0;18;69;84;118;105;9;0
Tuusula;Persons working outside their municipality of residence;Total;13155;0;764;2096;3870;3977;2345;103;0
Tyrnävä;Persons working outside their municipality of residence;Total;1643;0;118;400;520;408;189;8;0
Ulvila;Persons working outside their municipality of residence;Total;3670;0;246;691;1017;960;723;33;0
Urjala;Persons working outside their municipality of residence;Total;764;0;47;128;205;196;179;9;0
Utajärvi;Persons working outside their municipality of residence;Total;316;0;28;63;63;79;77;6;0
Utsjoki;Persons working outside their municipality of residence;Total;84;0;3;18;19;27;15;2;0
Uurainen;Persons working outside their municipality of residence;Total;893;0;52;193;303;218;119;8;0
Nykarleby;Persons working outside their municipality of residence;Total;1041;0;104;276;203;241;196;21;0
Uusikaupunki;Persons working outside their municipality of residence;Total;1359;0;102;268;320;342;303;24;0
Vaala;Persons working outside their municipality of residence;Total;253;0;23;35;39;69;85;2;0
Vaasa;Persons working outside their municipality of residence;Total;4508;0;924;1205;928;802;589;60;0
Valkeakoski;Persons working outside their municipality of residence;Total;3245;0;211;717;994;819;482;22;0
Valtimo;Persons working outside their municipality of residence;Total;268;0;22;49;63;57;74;3;0
Vantaa;Persons working outside their municipality of residence;Total;57801;0;4867;13679;15329;13969;9461;496;0
Varkaus;Persons working outside their municipality of residence;Total;1620;0;149;337;390;410;314;20;0
Vehmaa;Persons working outside their municipality of residence;Total;549;0;51;112;136;139;107;4;0
Vesanto;Persons working outside their municipality of residence;Total;234;0;23;38;51;66;52;4;0
Vesilahti;Persons working outside their municipality of residence;Total;1389;0;66;210;419;436;248;10;0
Veteli;Persons working outside their municipality of residence;Total;516;0;42;112;136;94;126;6;0
Vieremä;Persons working outside their municipality of residence;Total;441;0;31;82;90;127;108;3;0
Vihti;Persons working outside their municipality of residence;Total;8227;0;440;1449;2444;2377;1442;75;0
Viitasaari;Persons working outside their municipality of residence;Total;451;0;45;81;86;116;113;10;0
Vimpeli;Persons working outside their municipality of residence;Total;383;0;35;89;90;94;71;4;0
Virolahti;Persons working outside their municipality of residence;Total;542;0;29;97;138;146;124;8;0
Virrat;Persons working outside their municipality of residence;Total;532;0;39;87;128;142;127;9;0
Vårdö;Persons working outside their municipality of residence;Total;102;0;10;21;20;29;19;3;0
Vöyri;Persons working outside their municipality of residence;Total;1087;0;81;271;270;246;201;18;0
Ylitornio;Persons working outside their municipality of residence;Total;327;0;34;63;49;94;83;4;0
Ylivieska;Persons working outside their municipality of residence;Total;1804;0;196;564;442;325;265;12;0
Ylöjärvi;Persons working outside their municipality of residence;Total;9514;0;499;1986;2900;2540;1534;55;0
Ypäjä;Persons working outside their municipality of residence;Total;556;0;57;98;136;144;111;10;0
